Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,236,131,55.51,65,23,35.38,27.54,21,12,57.14,8.9,13,10,76.92,5.51,119,77,64.71,50.42,0,0,0,0,0,0,0,0,14,9,64.29,5.93,0,0,0,0,83,38,45.78,35.17,30,11,36.67,12.71,10,4,40,4.24,4,0,0,1.69,30,17,56.67,12.71,0,0,0,0,0,0,0,0,7,5,71.43,2.97,0,0,0,0,153,93,60.78,64.83,35,12,34.29,14.83,11,8,72.73,4.66,9,9,100,3.81,89,60,67.42,37.71,0,0,0,0,0,0,0,0,7,4,57.14,2.97,0,0,0,0, 
2018,355,189,53.24,68,19,27.94,19.15,29,15,51.72,8.17,14,13,92.86,3.94,222,134,60.36,62.54,2,0,0,0.56,0,0,0,0,14,5,35.71,3.94,0,0,0,0,104,51,49.04,29.3,27,8,29.63,7.61,5,2,40,1.41,5,4,80,1.41,61,36,59.02,17.18,1,0,0,0.28,0,0,0,0,4,0,0,1.13,0,0,0,0,251,138,54.98,70.7,41,11,26.83,11.55,24,13,54.17,6.76,9,9,100,2.54,161,98,60.87,45.35,1,0,0,0.28,0,0,0,0,10,4,40,2.82,0,0,0,0, 
2019,601,302,50.25,101,29,28.71,16.81,60,26,43.33,9.98,52,34,65.38,8.65,326,189,57.98,54.24,0,0,0,0,2,0,0,0.33,27,10,37.04,4.49,0,0,0,0,191,91,47.64,31.78,39,10,25.64,6.49,25,10,40,4.16,22,16,72.73,3.66,84,46,54.76,13.98,0,0,0,0,1,0,0,0.17,7,2,28.57,1.16,0,0,0,0,410,211,51.46,68.22,62,19,30.65,10.32,35,16,45.71,5.82,30,18,60,4.99,242,143,59.09,40.27,0,0,0,0,1,0,0,0.17,20,8,40,3.33,0,0,0,0, 
2020,727,419,57.63,103,41,39.81,14.17,67,36,53.73,9.22,71,61,85.92,9.77,420,247,58.81,57.77,3,0,0,0.41,4,0,0,0.55,34,17,50,4.68,0,0,0,0,273,164,60.07,37.55,39,16,41.03,5.36,39,22,56.41,5.36,24,21,87.5,3.3,151,91,60.26,20.77,1,0,0,0.14,1,0,0,0.14,11,7,63.64,1.51,0,0,0,0,452,254,56.19,62.17,64,25,39.06,8.8,28,14,50,3.85,46,39,84.78,6.33,268,156,58.21,36.86,2,0,0,0.28,3,0,0,0.41,23,10,43.48,3.16,0,0,0,0, 
2021,901,365,40.51,153,31,20.26,16.98,83,26,31.33,9.21,67,39,58.21,7.44,497,229,46.08,55.16,1,0,0,0.11,15,0,0,1.66,48,28,58.33,5.33,37,12,32.43,4.11,345,145,42.03,38.29,62,12,19.35,6.88,35,10,28.57,3.88,33,21,63.64,3.66,178,85,47.75,19.76,1,0,0,0.11,6,0,0,0.67,16,10,62.5,1.78,14,7,50,1.55,548,218,39.78,60.82,88,19,21.59,9.77,48,16,33.33,5.33,34,18,52.94,3.77,315,143,45.4,34.96,0,0,0,0,9,0,0,1,32,18,56.25,3.55,22,4,18.18,2.44, 
