Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,492,228,46.34,49,13,26.53,9.96,62,25,40.32,12.6,37,30,81.08,7.52,295,144,48.81,59.96,2,0,0,0.41,4,0,0,0.81,31,10,32.26,6.3,0,0,0,0,152,75,49.34,30.89,22,5,22.73,4.47,23,8,34.78,4.67,13,13,100,2.64,82,45,54.88,16.67,0,0,0,0,2,0,0,0.41,7,2,28.57,1.42,0,0,0,0,340,153,45,69.11,27,8,29.63,5.49,39,17,43.59,7.93,24,17,70.83,4.88,213,99,46.48,43.29,2,0,0,0.41,2,0,0,0.41,24,8,33.33,4.88,0,0,0,0, 
2018,781,361,46.22,83,11,13.25,10.63,76,28,36.84,9.73,84,58,69.05,10.76,478,238,49.79,61.2,1,0,0,0.13,8,2,25,1.02,38,20,52.63,4.87,0,0,0,0,260,108,41.54,33.29,40,5,12.5,5.12,25,11,44,3.2,34,23,67.65,4.35,142,62,43.66,18.18,1,0,0,0.13,2,0,0,0.26,13,7,53.85,1.66,0,0,0,0,521,253,48.56,66.71,43,6,13.95,5.51,51,17,33.33,6.53,50,35,70,6.4,336,176,52.38,43.02,0,0,0,0,6,2,33.33,0.77,25,13,52,3.2,0,0,0,0, 
2019,851,455,53.47,98,23,23.47,11.52,87,39,44.83,10.22,71,54,76.06,8.34,521,308,59.12,61.22,0,0,0,0,5,1,20,0.59,46,25,54.35,5.41,0,0,0,0,270,115,42.59,31.73,49,6,12.24,5.76,23,8,34.78,2.7,25,15,60,2.94,151,75,49.67,17.74,0,0,0,0,1,0,0,0.12,15,8,53.33,1.76,0,0,0,0,581,340,58.52,68.27,49,17,34.69,5.76,64,31,48.44,7.52,46,39,84.78,5.41,370,233,62.97,43.48,0,0,0,0,4,0,0,0.47,31,17,54.84,3.64,0,0,0,0, 
2020,939,494,52.61,103,33,32.04,10.97,93,47,50.54,9.9,83,59,71.08,8.84,567,309,54.5,60.38,1,0,0,0.11,17,5,29.41,1.81,44,22,50,4.69,0,0,0,0,363,194,53.44,38.66,48,13,27.08,5.11,40,18,45,4.26,29,20,68.97,3.09,214,122,57.01,22.79,0,0,0,0,5,1,20,0.53,20,14,70,2.13,0,0,0,0,572,298,52.1,60.92,55,20,36.36,5.86,53,29,54.72,5.64,54,39,72.22,5.75,349,185,53.01,37.17,1,0,0,0.11,12,4,33.33,1.28,24,8,33.33,2.56,0,0,0,0, 
2021,952,462,48.53,69,13,18.84,7.25,98,31,31.63,10.29,102,70,68.63,10.71,582,310,53.26,61.13,4,0,0,0.42,10,5,50,1.05,50,19,38,5.25,37,13,35.14,3.89,335,157,46.87,35.19,33,7,21.21,3.47,37,12,32.43,3.89,47,32,68.09,4.94,186,94,50.54,19.54,2,0,0,0.21,3,0,0,0.32,15,6,40,1.58,12,4,33.33,1.26,613,304,49.59,64.39,35,6,17.14,3.68,61,19,31.15,6.41,55,38,69.09,5.78,393,215,54.71,41.28,2,0,0,0.21,7,4,57.14,0.74,35,13,37.14,3.68,25,9,36,2.63, 
