Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,94,60,63.83,31,13,41.94,32.98,14,9,64.29,14.89,7,4,57.14,7.45,33,29,87.88,35.11,0,0,0,0,0,0,0,0,4,0,0,4.26,0,0,0,0,37,25,67.57,39.36,12,5,41.67,12.77,5,3,60,5.32,2,0,0,2.13,14,13,92.86,14.89,0,0,0,0,0,0,0,0,2,0,0,2.13,0,0,0,0,57,35,61.4,60.64,19,8,42.11,20.21,9,6,66.67,9.57,5,2,40,5.32,19,16,84.21,20.21,0,0,0,0,0,0,0,0,2,0,0,2.13,0,0,0,0, 
2018,168,79,47.02,83,23,27.71,49.4,24,14,58.33,14.29,9,5,55.56,5.36,29,25,86.21,17.26,0,0,0,0,0,0,0,0,11,6,54.55,6.55,0,0,0,0,79,32,40.51,47.02,41,10,24.39,24.4,17,9,52.94,10.12,1,0,0,0.6,10,8,80,5.95,0,0,0,0,0,0,0,0,8,5,62.5,4.76,0,0,0,0,89,47,52.81,52.98,42,13,30.95,25,7,5,71.43,4.17,8,5,62.5,4.76,19,17,89.47,11.31,0,0,0,0,0,0,0,0,3,0,0,1.79,0,0,0,0, 
2019,196,76,38.78,105,22,20.95,53.57,27,10,37.04,13.78,6,4,66.67,3.06,31,28,90.32,15.82,0,0,0,0,4,0,0,2.04,16,10,62.5,8.16,0,0,0,0,104,40,38.46,53.06,53,13,24.53,27.04,15,6,40,7.65,2,0,0,1.02,14,12,85.71,7.14,0,0,0,0,3,0,0,1.53,13,7,53.85,6.63,0,0,0,0,92,36,39.13,46.94,52,9,17.31,26.53,12,4,33.33,6.12,4,0,0,2.04,17,16,94.12,8.67,0,0,0,0,1,0,0,0.51,3,0,0,1.53,0,0,0,0, 
2020,290,176,60.69,171,93,54.39,58.97,33,22,66.67,11.38,7,2,28.57,2.41,50,40,80,17.24,0,0,0,0,2,0,0,0.69,14,10,71.43,4.83,0,0,0,0,136,82,60.29,46.9,88,48,54.55,30.34,18,12,66.67,6.21,0,0,0,0,21,18,85.71,7.24,0,0,0,0,2,0,0,0.69,1,0,0,0.34,0,0,0,0,153,93,60.78,52.76,82,44,53.66,28.28,15,10,66.67,5.17,7,2,28.57,2.41,29,22,75.86,10,0,0,0,0,0,0,0,0,13,10,76.92,4.48,0,0,0,0, 
2021,183,75,40.98,75,10,13.33,40.98,31,11,35.48,16.94,9,7,77.78,4.92,49,44,89.8,26.78,0,0,0,0,0,0,0,0,10,2,20,5.46,9,1,11.11,4.92,79,32,40.51,43.17,33,3,9.09,18.03,14,7,50,7.65,2,0,0,1.09,20,19,95,10.93,0,0,0,0,0,0,0,0,3,0,0,1.64,7,1,14.29,3.83,104,43,41.35,56.83,42,7,16.67,22.95,17,4,23.53,9.29,7,5,71.43,3.83,29,25,86.21,15.85,0,0,0,0,0,0,0,0,7,2,28.57,3.83,2,0,0,1.09, 
