Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,62,55,88.71,0,0,0,0,3,0,0,4.84,8,7,87.5,12.9,45,41,91.11,72.58,0,0,0,0,0,0,0,0,4,0,0,6.45,0,0,0,0,19,17,89.47,30.65,0,0,0,0,1,0,0,1.61,3,0,0,4.84,12,11,91.67,19.35,0,0,0,0,0,0,0,0,3,0,0,4.84,0,0,0,0,43,38,88.37,69.35,0,0,0,0,2,0,0,3.23,5,5,100,8.06,33,30,90.91,53.23,0,0,0,0,0,0,0,0,1,0,0,1.61,0,0,0,0, 
2018,47,41,87.23,1,0,0,2.13,1,0,0,2.13,9,8,88.89,19.15,36,32,88.89,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,85.71,14.89,0,0,0,0,0,0,0,0,1,0,0,2.13,6,5,83.33,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,87.5,85.11,1,0,0,2.13,1,0,0,2.13,8,7,87.5,17.02,30,27,90,63.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2019,44,36,81.82,0,0,0,0,1,0,0,2.27,4,0,0,9.09,39,32,82.05,88.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,81.82,25,0,0,0,0,0,0,0,0,2,0,0,4.55,9,8,88.89,20.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,27,81.82,75,0,0,0,0,1,0,0,2.27,2,0,0,4.55,30,24,80,68.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
2020,65,51,78.46,0,0,0,0,2,0,0,3.08,18,13,72.22,27.69,35,31,88.57,53.85,0,0,0,0,0,0,0,0,3,0,0,4.62,0,0,0,0,15,12,80,23.08,0,0,0,0,1,0,0,1.54,4,0,0,6.15,10,8,80,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,39,78,76.92,0,0,0,0,1,0,0,1.54,14,10,71.43,21.54,25,23,92,38.46,0,0,0,0,0,0,0,0,3,0,0,4.62,0,0,0,0, 
2021,74,63,85.14,1,0,0,1.35,2,0,0,2.7,8,6,75,10.81,58,51,87.93,78.38,0,0,0,0,0,0,0,0,4,0,0,5.41,1,0,0,1.35,19,17,89.47,25.68,0,0,0,0,1,0,0,1.35,2,0,0,2.7,16,14,87.5,21.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,46,85.19,72.97,1,0,0,1.35,1,0,0,1.35,6,4,66.67,8.11,41,37,90.24,55.41,0,0,0,0,0,0,0,0,4,0,0,5.41,1,0,0,1.35, 
