Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,153,117,76.47,0,0,0,0,8,6,75,5.23,27,23,85.19,17.65,100,72,72,65.36,0,0,0,0,2,0,0,1.31,15,15,100,9.8,0,0,0,0,39,24,61.54,25.49,0,0,0,0,3,0,0,1.96,5,5,100,3.27,28,15,53.57,18.3,0,0,0,0,1,0,0,0.65,2,0,0,1.31,0,0,0,0,114,93,81.58,74.51,0,0,0,0,5,4,80,3.27,22,18,81.82,14.38,72,57,79.17,47.06,0,0,0,0,1,0,0,0.65,13,13,100,8.5,0,0,0,0, 
2018,456,309,67.76,5,1,20,1.1,34,16,47.06,7.46,88,77,87.5,19.3,285,188,65.96,62.5,2,0,0,0.44,4,0,0,0.88,24,18,75,5.26,0,0,0,0,116,60,51.72,25.44,2,0,0,0.44,9,4,44.44,1.97,26,23,88.46,5.7,68,29,42.65,14.91,1,0,0,0.22,0,0,0,0,5,3,60,1.1,0,0,0,0,340,249,73.24,74.56,3,0,0,0.66,25,12,48,5.48,62,54,87.1,13.6,217,159,73.27,47.59,1,0,0,0.22,4,0,0,0.88,19,15,78.95,4.17,0,0,0,0, 
2019,419,296,70.64,5,1,20,1.19,48,27,56.25,11.46,64,53,82.81,15.27,253,185,73.12,60.38,2,0,0,0.48,3,0,0,0.72,29,17,58.62,6.92,0,0,0,0,114,61,53.51,27.21,1,0,0,0.24,10,1,10,2.39,21,16,76.19,5.01,68,38,55.88,16.23,1,0,0,0.24,0,0,0,0,9,3,33.33,2.15,0,0,0,0,305,235,77.05,72.79,4,0,0,0.95,38,26,68.42,9.07,43,37,86.05,10.26,185,147,79.46,44.15,1,0,0,0.24,3,0,0,0.72,20,14,70,4.77,0,0,0,0, 
2020,576,366,63.54,11,7,63.64,1.91,60,38,63.33,10.42,98,69,70.41,17.01,328,198,60.37,56.94,3,0,0,0.52,1,0,0,0.17,47,33,70.21,8.16,0,0,0,0,142,98,69.01,24.65,5,3,60,0.87,18,13,72.22,3.12,21,15,71.43,3.65,74,50,67.57,12.85,1,0,0,0.17,0,0,0,0,14,10,71.43,2.43,0,0,0,0,434,268,61.75,75.35,6,4,66.67,1.04,42,25,59.52,7.29,77,54,70.13,13.37,254,148,58.27,44.1,2,0,0,0.35,1,0,0,0.17,33,23,69.7,5.73,0,0,0,0, 
2021,384,304,79.17,10,5,50,2.6,45,26,57.78,11.72,69,61,88.41,17.97,217,179,82.49,56.51,0,0,0,0,1,0,0,0.26,20,16,80,5.21,22,16,72.73,5.73,87,64,73.56,22.66,2,0,0,0.52,14,5,35.71,3.65,18,17,94.44,4.69,42,33,78.57,10.94,0,0,0,0,0,0,0,0,3,0,0,0.78,8,6,75,2.08,295,239,81.02,76.82,8,5,62.5,2.08,31,21,67.74,8.07,51,44,86.27,13.28,173,145,83.82,45.05,0,0,0,0,1,0,0,0.26,17,13,76.47,4.43,14,10,71.43,3.65, 
