Year, Total, Total Passed, % Passed,Num Black, Black Passed, % Black Passed, % Black,Num Hispanic, Hisp Passed, % Hisp Passed, % Hisp,Num Asian, Asian Passed, % Asian Passed, % Asian,Num White, White Passed, % White Passed, % White,Num PI, PI Passed, % PI Passed, % PI,Num NA, NA Passed, % NA Passed, % NA,Num 2+, 2+ Passed, % 2+ Passed, % 2+,Num Other, Other Passed, % Other Passed, % Other,Fem Total, Fem Passed, % Fem Passed, % Fem,Num Black Fem, Fem Black Passed, % Fem Black Passed, % Fem Black,Num Hispanic Fem, Fem Hisp Passed, % Fem Hisp Passed, % Fem Hisp,Num Asian Fem, Fem Asian Passed, % Fem Asian Passed, % Fem Asian,Num White Fem, Fem White Passed, % Fem White Passed, % Fem White,Num PI Fem, Fem PI Passed, % Fem PI Passed, % Fem PI,Num NA Fem, Fem NA Passed, % Fem NA Passed, % Fem NA,Num 2+ Fem, Fem 2+ Passed, % Fem 2+ Passed, % Fem 2+,Num Other Fem, Fem Other Passed, % Fem Other Passed,% Fem Other,Male Total, Male Passed, % Male Passed, % Male,Num Black Male, Male Black Passed, % Male Black Passed, % Male Black,Num Hispanic Male, Male Hisp Passed, % Male Hisp Passed, % Male Hisp,Num Asian Male, Male Asian Passed, % Male Asian Passed, % Male Asian,Num White Male, Male White Passed, % Male White Passed, % Male White,Num PI Male, Male PI Passed, % Male PI Passed, % Male PI,Num NA Male, Male NA Passed, % Male NA Passed, % Male NA,Num 2+ Male, Male 2+ Passed, % Male 2+ Passed, % Male 2+,Num Other Male, Male Other Passed, % Male Other Passed, % Male Other,
2017,456,394,86.4,16,7,43.75,3.51,32,17,53.12,7.02,111,107,96.4,24.34,266,238,89.47,58.33,1,0,0,0.22,1,0,0,0.22,19,16,84.21,4.17,0,0,0,0,113,90,79.65,24.78,7,2,28.57,1.54,10,4,40,2.19,30,28,93.33,6.58,58,51,87.93,12.72,0,0,0,0,0,0,0,0,5,3,60,1.1,0,0,0,0,343,304,88.63,75.22,9,5,55.56,1.97,22,13,59.09,4.82,81,79,97.53,17.76,208,187,89.9,45.61,1,0,0,0.22,1,0,0,0.22,14,13,92.86,3.07,0,0,0,0, 
2018,601,501,83.36,18,10,55.56,3,45,25,55.56,7.49,148,125,84.46,24.63,343,302,88.05,57.07,2,0,0,0.33,1,0,0,0.17,20,19,95,3.33,0,0,0,0,135,112,82.96,22.46,7,4,57.14,1.16,13,6,46.15,2.16,40,36,90,6.66,67,59,88.06,11.15,1,0,0,0.17,0,0,0,0,5,5,100,0.83,0,0,0,0,466,389,83.48,77.54,11,6,54.55,1.83,32,19,59.38,5.32,108,89,82.41,17.97,276,243,88.04,45.92,1,0,0,0.17,1,0,0,0.17,15,14,93.33,2.5,0,0,0,0, 
2019,605,440,72.73,39,15,38.46,6.45,58,22,37.93,9.59,123,97,78.86,20.33,337,272,80.71,55.7,0,0,0,0,2,0,0,0.33,22,18,81.82,3.64,0,0,0,0,156,107,68.59,25.79,6,2,33.33,0.99,17,4,23.53,2.81,46,34,73.91,7.6,76,59,77.63,12.56,0,0,0,0,0,0,0,0,6,4,66.67,0.99,0,0,0,0,449,333,74.16,74.21,33,13,39.39,5.45,41,18,43.9,6.78,77,63,81.82,12.73,261,213,81.61,43.14,0,0,0,0,2,0,0,0.33,16,14,87.5,2.64,0,0,0,0, 
2020,866,636,73.44,51,34,66.67,5.89,67,39,58.21,7.74,168,138,82.14,19.4,470,352,74.89,54.27,0,0,0,0,2,0,0,0.23,56,35,62.5,6.47,0,0,0,0,218,180,82.57,25.17,16,13,81.25,1.85,16,10,62.5,1.85,59,53,89.83,6.81,101,85,84.16,11.66,0,0,0,0,0,0,0,0,14,11,78.57,1.62,0,0,0,0,645,455,70.54,74.48,35,21,60,4.04,51,29,56.86,5.89,109,85,77.98,12.59,368,266,72.28,42.49,0,0,0,0,2,0,0,0.23,41,24,58.54,4.73,0,0,0,0, 
2021,651,531,81.57,30,12,40,4.61,26,14,53.85,3.99,158,133,84.18,24.27,365,308,84.38,56.07,0,0,0,0,5,3,60,0.77,35,31,88.57,5.38,32,30,93.75,4.92,163,142,87.12,25.04,5,4,80,0.77,6,2,33.33,0.92,49,43,87.76,7.53,86,77,89.53,13.21,0,0,0,0,2,0,0,0.31,8,7,87.5,1.23,7,7,100,1.08,485,386,79.59,74.5,25,8,32,3.84,20,12,60,3.07,108,89,82.41,16.59,277,229,82.67,42.55,0,0,0,0,3,0,0,0.46,27,24,88.89,4.15,25,23,92,3.84, 
